#Time [s]		Cumulative pedestrians
0.00	0
0.50	0
1.00	0
1.50	0
2.00	0
2.50	0
3.00	0
3.50	0
4.00	0
4.50	0
5.00	0
5.50	0
6.00	0
6.50	0
7.00	0
7.50	0
8.00	0
8.50	0
9.00	0
9.50	0
10.00	0
10.50	0
11.00	0
11.50	0
12.00	1
12.50	3
13.00	4
13.50	4
14.00	6
14.50	9
15.00	10
15.50	13
16.00	14
16.50	16
17.00	18
17.50	22
18.00	22
18.50	24
19.00	26
19.50	30
20.00	31
20.50	34
21.00	36
21.50	39
22.00	39
22.50	42
23.00	43
23.50	43
24.00	46
24.50	46
25.00	46
25.50	48
26.00	50
26.50	50
27.00	50
27.50	50
28.00	50
28.50	50
29.00	50
29.50	50
30.00	50
30.50	50
31.00	50
31.50	50
32.00	50
32.50	50
33.00	50
33.50	50
34.00	50
34.50	50
35.00	50
35.50	50
36.00	50
36.50	50
37.00	50
37.50	50
38.00	50
38.50	50
39.00	50
39.50	50
40.00	50
40.50	50
41.00	50
41.50	50
42.00	50
42.50	50
43.00	50
43.50	50
44.00	50
44.50	50
45.00	50
45.50	50
46.00	50
46.50	50
47.00	50
47.50	50
48.00	50
48.50	50
49.00	50
49.50	50
50.00	50
50.50	50
51.00	50
51.50	50
52.00	50
52.50	50
53.00	50
53.50	50
54.00	50
54.50	50
55.00	50
55.50	50
56.00	50
56.50	50
57.00	50
57.50	50
58.00	50
58.50	50
59.00	50
59.50	50
